"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,563400,0.00535331905781585,0.0178861788617886,0.0666414237031427,0.0959123711171552,0.00195555180732643,"2017-04","2017-Q2",563400,0,"2017-04"
2017-04-30,139,"Cook","IL","Chicago",1,214300,0.0018700327255727,0.0166034155597723,0.0704295704295704,0.0553455867001611,-0.0184631855292094,"2007-03","2007-Q1",258900,-0.172267284665894,"2003-08"
2017-04-30,2402,"Maricopa","AZ","Phoenix",2,240000,0.0025062656641604,0.00925147182506308,0.0614772224679345,0.108646295767851,-0.00967314402760355,"2006-04","2006-Q2",277900,-0.136379992803167,"2005-07"
2017-04-30,2841,"San Diego","CA","San Diego",3,537200,0.00618093275894362,0.012247974373469,0.0568561872909699,0.0872383167803421,0.00434634726016214,"2005-11","2005-Q4",543600,-0.0117733627667403,"2005-07"
2017-04-30,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim",4,678700,-0.000294594196494329,0.00310375406443985,0.040791289679497,0.0833090779375205,-0.000558176496446627,"2006-05","2006-Q2",708800,-0.0424661399548533,"2005-11"
2017-04-30,581,"Kings","NY","New York",5,705300,0.00829163688348821,0.0193669605434311,0.0975723622782446,0.0873545614044517,0.0430104755264207,"2017-04","2017-Q2",705300,0,"2017-04"
2017-04-30,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",6,268400,-0.00111648678823967,0.00298953662182362,0.0680461599681655,0.113208648796366,-0.0188319457825097,"2007-03","2007-Q1",325300,-0.174915462649862,"2005-08"
2017-04-30,978,"Dallas","TX","Dallas-Fort Worth",7,175400,0.00458190148911798,0.0245327102803738,0.134540750323415,0.10225522361561,0.0305652391230942,"2017-04","2017-Q2",175400,0,"2017-04"
2017-04-30,1347,"Queens","NY","New York",8,508700,0.0176035207041408,0.0523376086057096,0.141863075196409,0.0710628872931258,0.00373184605307841,"2017-04","2017-Q2",508700,0,"2017-04"
2017-04-30,2832,"Riverside","CA","Riverside",9,337500,0.00297176820208024,0.0104790419161677,0.0579937304075235,0.106366967547887,-0.0184781760994146,"2006-08","2006-Q3",424900,-0.205695457754766,"2004-09"
2017-04-30,3250,"San Bernardino","CA","Riverside",10,305500,0.00394347683207361,0.012259774685222,0.0753255895811334,0.121490537210375,-0.0178792642352806,"2006-07","2006-Q3",379000,-0.193931398416887,"2005-04"
2017-04-30,445,"Clark","NV","Las Vegas",11,220700,0.00592525068368277,0.0170506912442396,0.0969184890656064,0.133786831557478,-0.0269717251727785,"2006-05","2006-Q2",304700,-0.275680997702658,"2004-05"
2017-04-30,207,"King","WA","Seattle",12,551000,0.013986013986014,0.0353250657647501,0.135848278705422,0.115576651022143,0.0249619832827186,"2017-04","2017-Q2",551000,0,"2017-04"
2017-04-30,791,"Wayne","MI","Detroit",13,72700,0.0125348189415042,0.0415472779369628,0.219798657718121,0.0944367908479322,-0.0362777917127391,"2005-04","2005-Q2",112500,-0.353777777777778,
2017-04-30,2049,"Tarrant","TX","Dallas-Fort Worth",14,182700,0.00495049504950495,0.0269814502529511,0.106602059357965,0.0800739305146281,0.030566890513184,"2017-04","2017-Q2",182700,0,"2017-04"
2017-04-30,3136,"Santa Clara","CA","San Jose",15,1015300,0.00714214859636941,0.0230753728335349,0.038988948014736,0.118300276870807,0.0305028719759,"2017-04","2017-Q2",1015300,0,"2017-04"
2017-04-30,1561,"Broward","FL","Miami-Fort Lauderdale",16,228000,0.00662251655629139,0.0187667560321716,0.0951008645533141,0.123095881175205,-0.0177793778310303,"2006-05","2006-Q2",286600,-0.204466154919749,"2005-04"
2017-04-30,2452,"New York","NY","New York",17,1273600,0.0179841739269443,0.0461639559717431,0.173068066685088,0.0975421070353592,0.0460128181192885,"2017-04","2017-Q2",1273600,0,"2017-04"
2017-04-30,3175,"Philadelphia","PA","Philadelphia",18,136400,0.00294117647058824,0.0156366344005957,0.0859872611464968,0.0409503969692568,0.0143386232940446,"2017-04","2017-Q2",136400,0,"2017-04"
2017-04-30,1510,"Alameda","CA","San Francisco",19,773000,0.00285417747794499,0.020596778452601,0.0694521306032097,0.137109856232317,0.0213495303019924,"2017-04","2017-Q2",773000,0,"2017-04"
2017-04-30,2801,"Middlesex","MA","Boston",20,489400,0.00534100246507806,0.0197957907897479,0.0683256930801135,0.0633994311838937,0.022963023534311,"2017-04","2017-Q2",489400,0,"2017-04"
2017-04-30,2046,"Suffolk","NY","New York",21,385000,0.0182491404390373,0.0481894908793901,0.113682383569569,0.0307486922544664,-0.0126794076995189,"2006-07","2006-Q3",448600,-0.141774409273295,"2004-10"
